coef_index,coef_value
Xc1,0.4272548031527017
Xc2,0.5064784517684274
Xc3,0.5542112119167817
Xc4,0.27292294022475794
Xc5,0.4977390374119379
Xc6,0.5443665569791277
Xc7,0.6117078761778811
Xc8,0.3264713703692696
Xc9,0.6258419894850784
Xc10,0.38731357529962823
Xp1,0.3733648452511959
Xp2,0.32517085303136295
Xp3,0.34280298543818255
Xp4,0.5969663999686685
Xp5,0.5594423144792123
Xp6,0.4614082561571475
Xp7,0.5429353081605204
Xp8,0.5492623316250259
Xp9,0.4500641918293615
Xp10,-0.0
Xi1,-0.0
Xi2,0.0
Xi3,0.0
Xi4,-0.0
Xi5,-0.0
Xi6,-0.0
Xi7,-0.0
Xi8,-0.009626221430178342
Xi9,-0.0
Xi10,0.0
Xs1,-0.0
Xs2,0.0
Xs3,0.0
Xs4,0.050598960435870394
Xs5,0.0
Xs6,0.0
Xs7,-0.0
Xs8,-0.0
Xs9,0.0
Xs10,-0.0
Xs11,-0.0
Xs12,0.0
Xs13,0.0
Xs14,0.09246081000410004
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,-0.0
Xs19,-0.0947850004926466
Xs20,0.0
Xs21,0.07036117027654079
Xs22,0.0
Xs23,-0.018907073287198484
Xs24,-0.07790951881301135
Xs25,-0.0
Xs26,0.0
Xs27,0.0
Xs28,-0.0
Xs29,-0.0
Xs30,-0.0
Xs31,0.0
Xs32,-0.0
Xs33,0.0
Xs34,0.054124893287060195
Xs35,0.0
Xs36,-0.0
Xs37,0.0
Xs38,0.11074917837550113
Xs39,0.04142694624375633
Xs40,0.0
Xs41,0.0
Xs42,-0.05098348316986162
Xs43,-0.0
Xs44,0.0
Xs45,-0.0
Xs46,-0.0
Xs47,0.0
Xs48,0.0
Xs49,0.0
Xs50,-0.0
Xs51,-0.0
Xs52,-0.0
Xs53,-0.0
Xs54,0.02176890022595451
Xs55,0.0
Xs56,-0.0
Xs57,0.0
Xs58,0.05217590359327217
Xs59,0.0055048507002015065
Xs60,0.029899490082751178
Xs61,-0.0
Xs62,-0.049147853879278836
Xs63,0.0349479988813915
Xs64,-0.0
Xs65,-0.0
Xs66,-0.0
Xs67,0.0
Xs68,-0.02730007815069846
Xs69,0.0
Xs70,0.0
Xs71,0.0
Xs72,-0.0
Xs73,-0.0
Xs74,-0.0
Xs75,-0.0
Xs76,0.0
Xs77,0.0
Xs78,-0.0
Xs79,0.0
Xs80,-0.05206768505920941
Xs81,0.00029389282499019847
Xs82,-0.0
Xs83,0.0
Xs84,-0.0
Xs85,0.0
Xs86,-0.0
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,-0.009669719968415121
Xs91,0.0
Xs92,-0.05141863678686185
Xs93,-0.0
Xs94,-0.0
Xs95,0.0
Xs96,-0.0
Xs97,-0.0
Xs98,0.0
Xs99,0.0
Xs100,0.0
Xs101,-0.0
Xs102,-0.014920232562726718
Xs103,0.0
Xs104,0.0
Xs105,-0.0
Xs106,-0.0
Xs107,-0.0788719166834435
Xs108,-0.02893516272227218
Xs109,-0.0
Xs110,-0.0
Xs111,-0.0
Xs112,0.0
Xs113,0.04415175804326649
Xs114,0.0
Xs115,-0.0
Xs116,0.0
Xs117,-0.0
Xs118,-0.0
Xs119,-0.0
Xs120,-0.0
Xs121,0.0
Xs122,-0.0
Xs123,0.08868780622538051
Xs124,0.0
Xs125,-0.0
Xs126,-0.0
Xs127,-0.004956401942504122
Xs128,-0.008776993847711917
Xs129,-0.0
Xs130,-0.0
Xs131,-0.10472259600879152
Xs132,-0.0
Xs133,-0.0
Xs134,0.07782600477865999
Xs135,-0.0
Xs136,-0.0
Xs137,-0.0
Xs138,-0.0
Xs139,0.0
Xs140,-0.0
Xs141,-0.0
Xs142,-0.0
Xs143,0.0
Xs144,-0.0
Xs145,0.0
Xs146,-0.0
Xs147,0.0
Xs148,0.0
Xs149,-0.0
Xs150,0.0
Xs151,0.0
Xs152,-0.0
Xs153,0.0
Xs154,-0.0
Xs155,0.0
Xs156,-0.0
Xs157,-0.02895791308102231
Xs158,-0.0
Xs159,-0.0
Xs160,-0.05172370896931036
Xs161,0.0
Xs162,0.0
Xs163,0.0
Xs164,-0.0
Xs165,-0.0
Xs166,0.0
Xs167,-0.0
Xs168,0.0
Xs169,0.0
Xs170,-0.0
Xs171,0.0
Xs172,-0.0
Xs173,-0.0
Xs174,0.0
Xs175,-0.0
Xs176,0.05500164347627427
Xs177,0.0
Xs178,-0.0
Xs179,-0.0
Xs180,0.0
Xs181,-0.0
Xs182,-0.0
Xs183,0.0
Xs184,0.005744835918882333
Xs185,0.0
Xs186,-0.0
Xs187,0.0
Xs188,0.06591866836259005
Xs189,-0.0
Xs190,-0.0
Xs191,-0.0
Xs192,0.0
Xs193,-0.0
Xs194,0.0
Xs195,0.0
Xs196,0.0
Xs197,0.0
Xs198,0.0
Xs199,-0.0
Xs200,0.0
Xs201,0.0
Xs202,-0.010760703368734612
Xs203,0.0
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,-0.0
Xs208,-0.0
Xs209,-0.0
Xs210,-0.0
Xs211,-0.0
Xs212,0.0
Xs213,-0.0
Xs214,0.0
Xs215,0.0
Xs216,0.0
Xs217,0.0
Xs218,-0.02379014653866028
Xs219,-0.0
Xs220,-0.1676635049065089
Xs221,0.0
Xs222,-0.0
Xs223,0.0
Xs224,0.0
Xs225,0.0
Xs226,-0.0
Xs227,-0.0
Xs228,-0.0
Xs229,0.03307014885242729
Xs230,0.0
Xs231,-0.026310468318945346
Xs232,-0.0
Xs233,-0.0
Xs234,0.0
Xs235,0.0
Xs236,0.0
Xs237,-0.027336902848059938
Xs238,0.0
Xs239,-0.005157771911916866
Xs240,0.0
Xs241,-0.0
Xs242,-0.0
Xs243,-0.0
Xs244,-0.0
Xs245,0.0
Xs246,0.0
Xs247,0.0
Xs248,0.0
Xs249,-0.0
