covariate_index,wamd_after
Xc1,0.4801516895886817
Xc2,0.48211951883847093
Xc3,0.43000146114240156
Xc4,0.4534211502991889
Xc5,0.44828880300160096
Xc6,0.42344148122426667
Xc7,0.2820655268793187
Xc8,0.4874133353659231
Xc9,0.20186351874710967
Xc10,0.2772392620978107
Xp1,0.433632706293169
Xp2,0.4064809280454645
Xp3,0.5545195335789506
Xp4,0.4388356139805486
Xp5,0.25966931811887617
Xp6,0.4338462858336212
Xp7,0.29190243750035605
Xp8,0.5255639644057722
Xp9,0.4127121298741706
Xp10,0.018011526061888498
Xi1,0.0
Xi2,0.0
Xi3,0.0
Xi4,0.0
Xi5,0.05053477984250808
Xi6,0.0
Xi7,0.0
Xi8,0.0
Xi9,0.0
Xi10,0.0
Xs1,0.05210977913540503
Xs2,0.0
Xs3,0.0
Xs4,0.0
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.0
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.0
Xs13,0.0
Xs14,0.0
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,0.0
Xs19,0.014969986709305614
Xs20,0.09177426771973135
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.0
Xs25,0.0
Xs26,0.0
Xs27,0.0
Xs28,0.0
Xs29,0.008157185204949003
Xs30,0.0
Xs31,0.0
Xs32,0.06412566450142343
Xs33,0.05669471028091822
Xs34,0.0
Xs35,0.0
Xs36,0.0
Xs37,0.0
Xs38,0.0
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.0
Xs43,0.0
Xs44,0.0
Xs45,0.0
Xs46,0.0
Xs47,0.0
Xs48,0.0
Xs49,0.0
Xs50,0.03732404249195516
Xs51,0.016667761624610526
Xs52,0.0
Xs53,0.0
Xs54,0.0
Xs55,0.0
Xs56,0.034566435531966186
Xs57,0.0
Xs58,0.0
Xs59,0.0
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.0
Xs64,0.0
Xs65,0.0
Xs66,0.0
Xs67,0.0
Xs68,0.0
Xs69,0.0
Xs70,0.044235675336063845
Xs71,0.0
Xs72,0.0
Xs73,0.012130042172899877
Xs74,0.08426512646789017
Xs75,0.0
Xs76,0.0
Xs77,0.0
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
