covariate_index,wamd_before
Xc1,0.4864825241675473
Xc2,0.6567524452025805
Xc3,0.48601158293947755
Xc4,0.9412149206846953
Xc5,0.48335963267145937
Xc6,0.5184611731105307
Xc7,0.32312849591284604
Xc8,0.7180933396754289
Xc9,0.6914532017951972
Xc10,0.5982522855322268
Xp1,0.4609497247121019
Xp2,0.4960126388278228
Xp3,0.39198997660021095
Xp4,0.29990053926946514
Xp5,0.3354747403129474
Xp6,0.3322306896365568
Xp7,0.4428000232949927
Xp8,0.5782707769964796
Xp9,0.44239901274580734
Xp10,0.0
Xi1,0.10601192806151077
Xi2,0.0
Xi3,0.015847056849839527
Xi4,0.0
Xi5,0.0
Xi6,0.0
Xi7,0.0
Xi8,0.0
Xi9,0.0
Xi10,0.21415114017798545
Xs1,0.025338453589561074
Xs2,0.0
Xs3,0.0
Xs4,0.0
Xs5,0.0
Xs6,0.032627819095410536
Xs7,0.0
Xs8,0.0
Xs9,0.0
Xs10,0.0
Xs11,0.0
Xs12,0.013929678134443974
Xs13,0.0
Xs14,0.0
Xs15,0.0
Xs16,0.18007915502589347
Xs17,0.0
Xs18,0.0
Xs19,0.0
Xs20,0.0
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.0
Xs25,0.0
Xs26,0.0
Xs27,0.0
Xs28,0.0
Xs29,0.10863784401864451
Xs30,0.0
Xs31,0.0
Xs32,0.0
Xs33,0.0
Xs34,0.0
Xs35,0.0
Xs36,0.0
Xs37,0.0
Xs38,0.0
Xs39,0.023777318742806638
Xs40,0.03709832184309383
Xs41,0.0
Xs42,0.0
Xs43,0.0
Xs44,0.0
Xs45,0.0
Xs46,0.0
Xs47,0.0
Xs48,0.0
Xs49,0.0
Xs50,0.0
Xs51,0.0
Xs52,0.0
Xs53,0.0
Xs54,0.0
Xs55,0.0
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.08701108622472432
Xs60,0.0
Xs61,0.0
Xs62,0.0
Xs63,0.0
Xs64,0.0
Xs65,0.0
Xs66,0.0037546234750177217
Xs67,0.0
Xs68,0.0
Xs69,0.03282965991343147
Xs70,0.0
Xs71,0.0
Xs72,0.0
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0
Xs77,0.037427328200306885
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.00019254616339588415
Xs85,0.0
Xs86,0.0
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.06995387228486412
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.0
Xs97,0.029660012826944693
Xs98,0.1564361756280584
Xs99,0.026182904728094824
Xs100,0.0
Xs101,0.0
Xs102,0.0
Xs103,0.0
Xs104,0.0
Xs105,0.0
Xs106,0.0
Xs107,0.0
Xs108,0.0
Xs109,0.0
Xs110,0.0
